1, 10101010, 1010000
0, 11111111, 1000000
 
0, 11111111, 0000000
0, 11111111, 0000000
 
0, 00000000, 0000000
1, 11111111, 0000000
 
0, 11111111, 1000000
0, 11111111, 1000000
 
0, 11111111, 0111111
0, 11111111, 0111111
 
0, 11111011, 0101011
0, 10000101, 1111000
 
0, 11111011, 0101011
0, 10000101, 1111000
 
0, 00101011, 1100001
1, 10000101, 0100110
 
0, 00110001, 0001111
1, 10000101, 0011011
 
0, 11001100, 0101101
0, 10000101, 0011010
 
0, 10111010, 1110111
0, 10000100, 1101111
 
0, 10001110, 1101100
0, 10000010, 1111110
 
0, 10000110, 1011010
0, 10000001, 1111000
 
0, 00011001, 1000001
1, 10000101, 1001010
 
0, 01010001, 0100111
1, 10000100, 0110110
 
0, 00101101, 1011000
1, 10000101, 0100010
 
0, 00000010, 1000110
1, 10000101, 1111000
 
0, 00011001, 1010011
1, 10000101, 1001010
 
0, 11101101, 1000110
0, 10000101, 1011101
 
0, 00101011, 1101111
1, 10000101, 0100110
 
0, 10001100, 1000100
0, 10000010, 1011001
 
0, 01000011, 1111001
1, 10000100, 1101100
 
0, 10001010, 1101110
0, 10000010, 0111110
 
0, 01101001, 0010110
1, 10000011, 0101110
 
0, 10110011, 0101100
0, 10000100, 1010001
 
0, 10010000, 0111101
0, 10000011, 0001100
 
0, 00011010, 1111001
1, 10000101, 1001000
 
0, 01010100, 1001101
1, 10000100, 0101001
 
0, 10100101, 1100100
0, 10000100, 0011011
 
0, 00001011, 0111111
1, 10000101, 1100110
 
0, 11011101, 1011111
0, 10000101, 0111101
 
0, 10001101, 0000010
0, 10000010, 1100000
 
0, 01000011, 0011000
1, 10000100, 1101111
 
0, 01000001, 0100000
1, 10000100, 1110110
 
0, 11110111, 1001110
0, 10000101, 1110001
 
0, 10100010, 0111010
0, 10000100, 0001110
 
0, 01100110, 1100011
1, 10000011, 1000001
 
0, 01011010, 1011101
1, 10000100, 0010000
 
0, 10110010, 1111100
0, 10000100, 1001111
 
0, 10010111, 0011000
0, 10000011, 1000001
 
0, 11011111, 1110001
0, 10000101, 1000001
 
0, 01110110, 0010001
1, 10000010, 0001101
 
0, 11101101, 0001101
0, 10000101, 1011100
 
0, 10101010, 1001101
0, 10000100, 0101110
 
0, 11111111, 0100000
1, 10000101, 1111111
 
0, 01011110, 1101100
1, 10000100, 0000000
 
0, 00101101, 0001000
1, 10000101, 0100011
 
0, 10111001, 0101100
0, 10000100, 1101001
 
0, 00101000, 0011000
1, 10000101, 0101101
 
0, 00011001, 1010110
1, 10000101, 1001010
 
0, 00100000, 1010010
1, 10000101, 0111100
 
0, 10000010, 1001001
0, 10000000, 1101001
 
0, 11101010, 0011011
0, 10000101, 1010110
 
0, 10011111, 0001011
0, 10000100, 0000000
 
0, 01101110, 0100001
1, 10000011, 0000101
 
0, 01010100, 1011000
1, 10000100, 0101000
 
0, 10111101, 1110011
0, 10000100, 1111011
 
0, 01100011, 0101011
1, 10000011, 1011100
 
0, 00010100, 0110111
1, 10000101, 1010100
 
0, 10000011, 1010001
0, 10000001, 0010110
 
0, 10101010, 1100111
0, 10000100, 0101111
 
0, 11111100, 0111111
0, 10000101, 1111011
 
0, 10011110, 0000000
0, 10000011, 1111000
 
0, 10010000, 1001001
0, 10000011, 0001101
 
0, 01100111, 0001101
1, 10000011, 0111110
 
0, 00001000, 0000101
1, 10000101, 1101101
 
0, 00001101, 0011000
1, 10000101, 1100011
 
0, 01001110, 1110100
1, 10000100, 1000000
 
0, 00100101, 1010110
1, 10000101, 0110010
 
0, 01111001, 0110010
1, 10000001, 0110000
 
0, 11101111, 1001000
0, 10000101, 1100001
 
0, 10100110, 0010100
0, 10000100, 0011100
 
0, 00011110, 0100000
1, 10000101, 1000001
 
0, 01000111, 0001101
1, 10000100, 1011111
 
0, 11101000, 1101101
0, 10000101, 1010011
 
0, 00100010, 0000110
1, 10000101, 0111001
 
0, 00001101, 1101001
1, 10000101, 1100010
 
0, 00010100, 1110101
1, 10000101, 1010100
 
0, 01010110, 0110110
1, 10000100, 0100001
 
0, 11111100, 1100100
0, 10000101, 1111011
 
0, 10011111, 0010000
0, 10000100, 0000000
 
0, 01011001, 1110101
1, 10000100, 0010100
 
0, 01000110, 1010101
1, 10000100, 1100001
 
0, 01011001, 1100101
1, 10000100, 0010100
 
0, 01100101, 0110011
1, 10000011, 1001100
 
0, 11011010, 0101011
0, 10000101, 0110110
 
0, 00001000, 0110100
1, 10000101, 1101101
 
0, 10010000, 1101110
0, 10000011, 0001111
 
0, 11100111, 1101011
0, 10000101, 1010001
 
0, 00011001, 1101111
1, 10000101, 1001010
 
0, 10011111, 0101010
0, 10000100, 0000001
 
0, 01011101, 0000110
1, 10000100, 0000111
 
0, 00010101, 1110111
1, 10000101, 1010010
 
0, 01110101, 0110100
1, 10000010, 0011000
 
0, 00100001, 1010011
1, 10000101, 0111010
 
0, 00111010, 0110110
1, 10000101, 0001000
 
0, 01001010, 0101111
1, 10000100, 1010010
 
0, 11101010, 1101011
0, 10000101, 1010111
 
0, 10000010, 0100100
0, 10000000, 1010110
 
0, 10100001, 1001100
0, 10000100, 0001010
 
0, 11010011, 0001011
0, 10000101, 0101000
 
0, 00110111, 1010110
1, 10000101, 0001110
 
0, 10101111, 1011000
0, 10000100, 1000011
 
0, 00100010, 0000010
1, 10000101, 0111001
 
0, 01100011, 1011010
1, 10000011, 1011001
 
0, 11011000, 0010010
0, 10000101, 0110010
 
